Model,Accuracy,Precision,Recall,F1,AUC-ROC
XGBoost (Static),0.8089622641509434,0.42105263157894735,0.10256410256410256,0.16494845360824742,0.601711871943086
XGBoost (Dynamic),0.8089622641509434,0.4482758620689655,0.16666666666666666,0.24299065420560748,0.6315769971839337
Hybrid Ensemble,0.7924528301886793,0.35294117647058826,0.15384615384615385,0.21428571428571427,0.6513635689936269
