variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
exchange_inflow_usd,price_static,0,0.04684153939138428,0.1038282313071365,0.06009851598712549,0.03682844297541391,1207
exchange_inflow_usd,price_static,1,0.04747868475059562,0.09934524660698599,0.05608039084914404,0.05152931526121612,1206
exchange_inflow_usd,price_static,2,0.037291174993254975,0.1958039251775467,0.04484040158613117,0.11977543609512643,1205
exchange_inflow_usd,price_static,3,0.027266284184628696,0.3445068992953505,0.04142614565813485,0.15084386799170837,1204
exchange_inflow_usd,price_static,7,0.031125514231566634,0.28132090282581296,0.04705873954414436,0.10323548352603353,1200
exchange_inflow_usd,price_change_1d,0,0.0035135597146556037,0.9029452224469394,-0.02369901799408507,0.41072896422497485,1207
exchange_inflow_usd,price_change_1d,1,-0.06901286045370587,0.016529117690596493,-0.06848542659603174,0.017375918160533386,1206
exchange_inflow_usd,price_change_1d,2,-0.07314979171857233,0.01108446017170521,-0.005093386645872195,0.859803004003256,1205
exchange_inflow_usd,price_change_1d,3,0.03310897677670026,0.2509850862562477,0.002570165751385813,0.9290112328936205,1204
exchange_inflow_usd,price_change_1d,7,0.043925916135578995,0.12831339349663887,0.025390636738004624,0.37951922577434816,1200
exchange_inflow_usd,price_change_7d,0,-0.04252037148965015,0.14083353619657607,-0.05702092313973153,0.04819608562573779,1201
exchange_inflow_usd,price_change_7d,1,-0.0289352326322675,0.3165798518715441,-0.030448407974230568,0.2919246243474486,1200
exchange_inflow_usd,price_change_7d,2,-0.004932185225787401,0.864532316616094,0.008900919020648334,0.7581637481828484,1199
exchange_inflow_usd,price_change_7d,3,0.010482188471909864,0.7170216423750038,0.012073783783331815,0.6763285043276284,1198
exchange_inflow_usd,price_change_7d,7,-0.026618233536363542,0.35810916621828376,-0.056203674028294584,0.05218801833037943,1194
exchange_inflow_usd,price_change_30d,0,,,,,1178
exchange_inflow_usd,price_change_30d,1,,,,,1177
exchange_inflow_usd,price_change_30d,2,,,,,1176
exchange_inflow_usd,price_change_30d,3,,,,,1175
exchange_inflow_usd,price_change_30d,7,,,,,1171
exchange_inflow_usd,volatility_7d,0,-0.003536343872506118,0.9026018310367347,-0.018733667374927206,0.5167690449369126,1200
exchange_inflow_usd,volatility_7d,1,-0.02200413344827192,0.4463325927750914,-0.012115670480030285,0.6750136096912509,1200
exchange_inflow_usd,volatility_7d,2,0.002906479756601275,0.9198849092460323,0.03183559194253141,0.2704846072930648,1200
exchange_inflow_usd,volatility_7d,3,0.02038466896393446,0.48050969037192903,0.050713305098337595,0.0790782346392486,1200
exchange_inflow_usd,volatility_7d,7,0.039412149582388915,0.17244668668754004,0.06091971780239821,0.03485132590438087,1200
exchange_inflow_usd,price_direction_1d,0,0.027383503268014003,0.34183407385278236,-0.00020252218721453783,0.9943919416974956,1207
exchange_inflow_usd,price_direction_1d,1,-0.030147144903243963,0.2955206767614559,-0.040960221048455724,0.15515168346274033,1206
exchange_inflow_usd,price_direction_1d,2,-0.027704582562401995,0.33660317821166785,-0.0002030252138288848,0.9943826819242829,1205
exchange_inflow_usd,price_direction_1d,3,0.02744200983111411,0.34140528545355614,-0.0001693992659553093,0.9953149848516778,1204
exchange_inflow_usd,price_direction_1d,7,0.02743739779033541,0.3422913529085255,-0.00023834875234808928,0.9934190921983422,1200
exchange_inflow_usd,price_direction_7d,0,-0.030360074555435882,0.29192095662886675,-0.04124951060449548,0.15208334972208642,1207
exchange_inflow_usd,price_direction_7d,1,-0.030398182902018574,0.2915157583693014,-0.04130130050902725,0.15173908805421527,1206
exchange_inflow_usd,price_direction_7d,2,-0.028005985882884096,0.33137081794654866,-0.0006091310195511856,0.9831476261491645,1205
exchange_inflow_usd,price_direction_7d,3,0.027145475707442017,0.34664959013548474,-0.0005760147278860173,0.9840703315299439,1204
exchange_inflow_usd,price_direction_7d,7,-0.03062897526470969,0.2890709975032729,-0.04161495175511706,0.1496677705742111,1200
exchange_outflow_usd,price_static,0,0.07394172995655705,0.010177685852577719,0.09625367315102434,0.0008129479711182778,1207
exchange_outflow_usd,price_static,1,0.07506782475253687,0.009110071625560441,0.09458032688443752,0.001007201393078388,1206
exchange_outflow_usd,price_static,2,0.06983817404103475,0.015319134632869725,0.08874308323254669,0.0020462478450427642,1205
exchange_outflow_usd,price_static,3,0.05506031334911956,0.056135017945951514,0.08283270840157053,0.0040256361388178825,1204
exchange_outflow_usd,price_static,7,0.05656362174161899,0.050118906042029676,0.08578027595027105,0.002940390036301831,1200
exchange_outflow_usd,price_change_1d,0,0.006485991762770838,0.8218978978282039,-0.0026366617199981733,0.9270890291463942,1207
exchange_outflow_usd,price_change_1d,1,-0.036306094210075114,0.20769526180224337,-0.014018125827310388,0.6267305940184327,1206
exchange_outflow_usd,price_change_1d,2,-0.10260668412286657,0.0003603758686493097,-0.043965807737992565,0.12717342766449458,1205
exchange_outflow_usd,price_change_1d,3,-0.042673844439054386,0.13890976906640592,-0.0563875111952089,0.05045365248308841,1204
exchange_outflow_usd,price_change_1d,7,0.019458687230668657,0.5006737901894467,0.002481801392401743,0.9315596981714631,1200
exchange_outflow_usd,price_change_7d,0,-0.04884612418305507,0.09063994552065432,-0.03268880119211035,0.2576479329360589,1201
exchange_outflow_usd,price_change_7d,1,-0.04467712111203054,0.12190657444057977,-0.01987675625244526,0.49151487032737917,1200
exchange_outflow_usd,price_change_7d,2,-0.02102475639036207,0.467019877952432,0.01208482090791093,0.675921666221309,1199
