variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
active_addresses,price_static,0,0.32939154365147194,2.5565884395725185e-28,0.7661272002712975,6.212847947135302e-206,1063
active_addresses,price_static,1,0.3306118670075734,1.671775839165133e-28,0.7658629555346971,1.6260115793810106e-205,1062
active_addresses,price_static,2,0.32959569891579704,2.648330515341943e-28,0.7653377534744417,7.083688791975781e-205,1061
active_addresses,price_static,3,0.32668964673879564,8.769315427030416e-28,0.7646238151719807,4.4382202191038975e-204,1060
active_addresses,price_static,7,0.32570562007010045,1.6125763557727276e-27,0.760297178614961,1.0488172049893372e-199,1056
active_addresses,price_change_1d,0,0.00130387478729891,0.9661311065129582,-0.022035516813718032,0.47295411647651264,1063
active_addresses,price_change_1d,1,-0.025671362638406196,0.4033013875708945,-0.026320322847763936,0.3915145292764157,1062
active_addresses,price_change_1d,2,-0.04962907688064154,0.1061683287633951,-0.02634605379455964,0.3912751862568863,1061
active_addresses,price_change_1d,3,-0.0345013730959344,0.2617382635676153,-0.03274653430893668,0.2867955464201126,1060
active_addresses,price_change_1d,7,-0.057138885842863765,0.06343767376433741,-0.03808334716975607,0.21625598921314082,1056
active_addresses,price_change_7d,0,-0.05606068791545743,0.06833989075896205,-0.09382954734606565,0.0022497063466421162,1058
active_addresses,price_change_7d,1,-0.07630518343165309,0.01308373500413436,-0.1017266573708237,0.0009264093855916899,1057
active_addresses,price_change_7d,2,-0.08367265629359322,0.0065165311816118635,-0.10733958108753047,0.0004756775890019976,1056
active_addresses,price_change_7d,3,-0.06145429224122985,0.045977217009688646,-0.11008001498737487,0.0003407969799200146,1055
active_addresses,price_change_7d,7,-0.04575219432266382,0.13827178896779507,-0.10056666811212997,0.0010958634028169706,1051
active_addresses,price_change_30d,0,-0.15746142169345895,3.5537563256835776e-07,-0.23328388425770996,2.9358062168977574e-14,1035
active_addresses,price_change_30d,1,-0.15827769017253754,3.1261283318044824e-07,-0.236172477808795,1.4233161958825362e-14,1034
active_addresses,price_change_30d,2,-0.15491414341359772,5.638817051106742e-07,-0.2372465398609362,1.105262400393892e-14,1033
active_addresses,price_change_30d,3,-0.14121359062600233,5.2687481909384165e-06,-0.23702132330987047,1.2077085784242454e-14,1032
active_addresses,price_change_30d,7,-0.13774082047471586,9.333062648396567e-06,-0.23850657849825668,9.195866630425624e-15,1028
active_addresses,volatility_7d,0,-0.06441016485635118,0.036369064264038305,-0.15208240772788464,6.864859985801487e-07,1056
active_addresses,volatility_7d,1,-0.060621466391935636,0.04890226081190808,-0.1529031591986105,5.96760489082211e-07,1056
active_addresses,volatility_7d,2,-0.06479319066864431,0.03526970807494546,-0.15361848791416444,5.278621828446413e-07,1056
active_addresses,volatility_7d,3,-0.05754873099930771,0.06156065398902176,-0.15448963094988608,4.542619186243913e-07,1056
active_addresses,volatility_7d,7,-0.0916838909601352,0.002862523028353601,-0.15357907129404583,5.314504079046877e-07,1056
active_addresses,price_direction_1d,0,-0.022298284160739038,0.4676909979103905,-0.0047905469187393595,0.8760278249554982,1063
active_addresses,price_direction_1d,1,-0.006442185227546641,0.8339056741004522,-0.007123651902331313,0.8166331212488667,1062
active_addresses,price_direction_1d,2,-0.02697226107208424,0.3801112293602778,-0.003930572595102732,0.8982438625308168,1061
active_addresses,price_direction_1d,3,-0.028845562694094516,0.3481259012927352,-0.011318340035289727,0.7128169705767826,1060
active_addresses,price_direction_1d,7,-0.00948827010058869,0.7581020864143624,-0.015678609154948675,0.6108066542994339,1056
active_addresses,price_direction_7d,0,-0.05126212505064719,0.09482722271145395,-0.04632692429582853,0.13118085688440545,1063
active_addresses,price_direction_7d,1,-0.044013846713189475,0.1517596328160681,-0.049879941132592746,0.1042474806540033,1062
active_addresses,price_direction_7d,2,-0.044024974245168054,0.1518493512430575,-0.05718375334187863,0.06260672673951241,1061
active_addresses,price_direction_7d,3,-0.034189383392698405,0.2660790564960836,-0.05748400379411757,0.06136136669322055,1060
active_addresses,price_direction_7d,7,-0.029992266858074514,0.3302064902541619,-0.05436371881228375,0.07742515011909207,1056
large_tx_count,price_static,0,,,,,1063
large_tx_count,price_static,1,,,,,1062
large_tx_count,price_static,2,,,,,1061
large_tx_count,price_static,3,,,,,1060
large_tx_count,price_static,7,,,,,1056
large_tx_count,price_change_1d,0,,,,,1063
large_tx_count,price_change_1d,1,,,,,1062
large_tx_count,price_change_1d,2,,,,,1061
large_tx_count,price_change_1d,3,,,,,1060
large_tx_count,price_change_1d,7,,,,,1056
large_tx_count,price_change_7d,0,,,,,1058
large_tx_count,price_change_7d,1,,,,,1057
large_tx_count,price_change_7d,2,,,,,1056
large_tx_count,price_change_7d,3,,,,,1055
large_tx_count,price_change_7d,7,,,,,1051
large_tx_count,price_change_30d,0,,,,,1035
large_tx_count,price_change_30d,1,,,,,1034
large_tx_count,price_change_30d,2,,,,,1033
