variable,threshold,direction,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
volatility_delta,-0.1,above,0.4879001468203208,0.42245758827442115,0.6395595878878461,0.5012510425354462,1199
volatility_delta,0.1,below,0.5946923152115198,0.4488325784091067,0.6113761086271112,0.5037783375314862,1191
volatility_delta,-0.05,above,0.5061634502989845,0.42566652896672946,0.6854021504535154,0.5030408340573415,1151
volatility_delta,0.05,below,1.0322617636459475,0.5424440156083062,0.515622210839991,0.5026223776223776,1144
volatility_delta,0.0,above,-0.5518708788856341,-0.29807923229211747,0.6885629141799404,0.504725897920605,529
volatility_delta,0.0,below,4.5570168849947805,1.204302094914019,0.333641566941572,0.5112359550561798,534
volatility_delta,0.05,above,-0.21771000235164628,-0.24266134520587693,0.3931764750100423,0.5,62
volatility_delta,-0.05,below,0.05554151509109695,0.1572427184058263,0.2610591237412682,0.4909090909090909,55
volatility_delta,0.1,above,-0.0030565550868973945,0.024473759963982523,0.09095876494488118,0.4,15
volatility_delta,-0.1,below,0.06849781129527055,0.2761290237583362,0.06118520566817831,0.7142857142857143,7
oi_delta,-0.1,above,0.6121508996431204,0.4537198830472134,0.637519681165125,0.5029045643153527,1205
oi_delta,0.1,below,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
oi_delta,-0.05,above,0.5814753062255942,0.4463359581075769,0.637519681165125,0.5020781379883624,1203
oi_delta,0.05,below,0.65963447719415,0.4648082895659762,0.637519681165125,0.5029045643153527,1205
oi_delta,0.0,above,-0.0511126186031271,-0.16099834445777356,0.15888169210425093,0.42857142857142855,14
oi_delta,0.0,below,-0.08319913187466799,-0.5670213953759897,0.08319913187466799,0.375,8
oi_delta,0.05,above,-0.04206735148618912,-0.4569268041941206,0.04206735148618912,0.0,1
oi_delta,-0.05,below,0.005275292029530698,0.11135005618553058,0.013852828134536449,0.6666666666666666,3
oi_delta,0.1,above,0.0,0.0,0.0,0.0,0
oi_delta,-0.1,below,-0.013852828134536477,-0.4569268041941206,0.013852828134536477,0.0,1
funding_delta,-0.1,above,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
funding_delta,0.1,below,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
funding_delta,-0.05,above,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
funding_delta,0.05,below,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
funding_delta,0.0,above,0.15453756337536606,0.258520330559567,0.5106657995265029,0.4745417515274949,491
funding_delta,0.0,below,0.2883172834354719,0.3284788748845674,0.3899221799260844,0.5177570093457944,535
funding_delta,0.05,above,0.0,0.0,0.0,0.0,0
funding_delta,-0.05,below,0.0,0.0,0.0,0.0,0
funding_delta,0.1,above,0.0,0.0,0.0,0.0,0
funding_delta,-0.1,below,0.0,0.0,0.0,0.0,0
taker_ratio_delta,-0.1,above,0.7430321973273886,0.48342964625892865,0.637519681165125,0.5029045643153527,1205
taker_ratio_delta,0.1,below,0.6307219940011326,0.4581011199020831,0.637519681165125,0.5029045643153527,1205
taker_ratio_delta,-0.05,above,0.8343017376901172,0.5028806961624215,0.637519681165125,0.5029239766081871,1197
taker_ratio_delta,0.05,below,0.7025258147864082,0.4745585474043403,0.637519681165125,0.5045871559633027,1199
taker_ratio_delta,0.0,above,-0.0842566965367374,-0.3919074280626118,0.12176601207227036,0.47058823529411764,17
taker_ratio_delta,0.0,below,-0.16366942934424156,-0.4322374908352071,0.2281852035307279,0.42857142857142855,14
taker_ratio_delta,0.05,above,-0.0662003263058435,-0.4666306712531542,0.08056295964513435,0.14285714285714285,7
taker_ratio_delta,-0.05,below,-0.13328433504869408,-0.42869275438533977,0.15697942467035542,0.4444444444444444,9
taker_ratio_delta,0.1,above,-0.025083333546844777,-0.4569268041941204,0.025083333546844777,0.0,1
taker_ratio_delta,-0.1,below,-0.08790092762422197,-0.4569268041941207,0.08790092762422197,0.0,1
net_flow_delta,-0.1,above,0.8563791361764728,0.5075407183711172,0.637519681165125,0.5029142381348876,1201
net_flow_delta,0.1,below,0.522177621196066,0.43165815289877446,0.637519681165125,0.5012468827930174,1203
net_flow_delta,-0.05,above,0.8563791361764728,0.5075407183711172,0.637519681165125,0.5029142381348876,1201
net_flow_delta,0.05,below,0.522177621196066,0.43165815289877446,0.637519681165125,0.5012468827930174,1203
net_flow_delta,0.0,above,0.04443662038219354,0.7191007087460904,0.0,1.0,3
net_flow_delta,0.0,below,-0.1435919423346217,-0.5697062627860627,0.15858628263084337,0.4,5
net_flow_delta,0.05,above,0.04443662038219354,0.7191007087460904,0.0,1.0,3
net_flow_delta,-0.05,below,-0.1435919423346217,-0.5697062627860627,0.15858628263084337,0.4,5
net_flow_delta,0.1,above,0.04443662038219354,0.7191007087460904,0.0,1.0,3
net_flow_delta,-0.1,below,-0.1435919423346217,-0.5697062627860627,0.15858628263084337,0.4,5
volatility_accel,-0.1,above,0.49481591253350343,0.42259683919195035,0.6375555118403216,0.5017241379310344,1160
volatility_accel,0.1,below,0.9100763118249422,0.5181329551191227,0.5851461549293491,0.5046491969568893,1183
volatility_accel,-0.05,above,0.24381073893774285,0.34514438302578043,0.6905949329717352,0.5047169811320755,1060
volatility_accel,0.05,below,2.050825610693114,0.7133631367573168,0.5484009738409674,0.5133587786259542,1048
volatility_accel,0.0,above,-0.2794718468800783,0.007611343825032284,0.6359296443034657,0.49829351535836175,586
volatility_accel,0.0,below,2.456160709206774,0.9669054885293282,0.4211988043078106,0.519916142557652,477
volatility_accel,0.05,above,-0.47888924075793615,-0.5289090839854136,0.6174594314005359,0.43037974683544306,158
volatility_accel,-0.05,below,0.27818324808900075,0.3791051655982797,0.2966911991617166,0.4863013698630137,146
volatility_accel,0.1,above,-0.16766778350103317,-0.26315587453913425,0.2765702522330837,0.391304347826087,23
volatility_accel,-0.1,below,0.06355440624719377,0.17116926220012355,0.18885219375588622,0.5217391304347826,46
oi_accel,-0.1,above,0.585234089971596,0.44724726407741067,0.637519681165125,0.5029093931837074,1203
oi_accel,0.1,below,0.5898180503034258,0.44837254876928945,0.637519681165125,0.5024875621890548,1206
oi_accel,-0.05,above,0.5827905317271227,0.44665503228764003,0.637519681165125,0.502495840266223,1202
oi_accel,0.05,below,0.688984158180699,0.4714146595651463,0.637519681165125,0.5033333333333333,1200
oi_accel,0.0,above,-0.04851145416521563,-0.1687140054548036,0.1645314568373528,0.4166666666666667,12
oi_accel,0.0,below,-0.0857054676842306,-0.4687408911130889,0.12369552400092344,0.4,10
oi_accel,0.05,above,-0.05871346240694808,-0.3081783242423676,0.1171211752238911,0.3333333333333333,6
oi_accel,-0.05,below,0.004439954899549736,0.09451289579079812,0.013852828134536425,0.5,4
