variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
volatility_delta,price_change_1d,0,-0.05078617263194677,0.07777938972508294,-0.040274355228504304,0.16201536311185916,1207
volatility_delta,price_change_1d,1,0.03480702042260687,0.22709584233467697,0.024311303852522826,0.3989375496855717,1206
volatility_delta,price_change_1d,2,0.025377049521473807,0.3787814152161765,-0.005834038840505364,0.8396750298209887,1205
volatility_delta,price_change_1d,3,-0.025934136952276036,0.36860076694528804,-0.005699751847733984,0.8433813726176687,1204
volatility_delta,price_change_1d,7,0.00833200220292737,0.7730916743120584,0.029352004028457914,0.3096567795033362,1200
volatility_delta,price_change_7d,0,0.001121175538273362,0.969038370273439,-0.00568341368908475,0.8440171271091021,1201
volatility_delta,price_change_7d,1,0.023280893071871873,0.4203913292741983,0.02897861827549663,0.3158544705422357,1200
volatility_delta,price_change_7d,2,0.010457297934826148,0.7175518155846468,0.018283172078999307,0.5270757265366407,1199
volatility_delta,price_change_7d,3,-0.007407084727689918,0.7978651979769288,0.005251799666295623,0.8559064574087677,1198
volatility_delta,price_change_7d,7,-0.004273084128167383,0.8827377957410626,0.019984883928067767,0.490251179606486,1194
volatility_delta,volatility_change_1d,0,0.016880366334852154,0.561236639239625,0.050627439203004554,0.08123919079701432,1187
volatility_delta,volatility_change_1d,1,-0.03840712662308735,0.18605850435781673,0.013729214943591993,0.6365451652690628,1187
volatility_delta,volatility_change_1d,2,0.05137904260097045,0.07681730413980146,0.009662168686684668,0.739476678011735,1187
volatility_delta,volatility_change_1d,3,0.006778853119738556,0.8155226078013808,-0.037752576609610816,0.19367725685141343,1187
volatility_delta,volatility_change_1d,7,-0.013549769221948983,0.6409593033160619,-0.005090080019307759,0.860934886033779,1187
volatility_delta,price_direction_1d,0,-0.023160363080141334,0.4214493717877187,-0.01122106991435671,0.6969435208378063,1207
volatility_delta,price_direction_1d,1,0.02577427391243827,0.3711631328415538,0.02727029591612051,0.34403464652819693,1206
volatility_delta,price_direction_1d,2,-0.009166297109084405,0.750585730220719,-0.04054828142619636,0.15952388613927246,1205
volatility_delta,price_direction_1d,3,-0.011968047746892108,0.6782449458591997,0.02004008165019416,0.4872355992887142,1204
volatility_delta,price_direction_1d,7,0.0017284765086363393,0.9523039134227339,0.019651797674056264,0.4964319935615644,1200
oi_delta,price_change_1d,0,0.011173204722254906,0.6981726838557015,0.004811887646715408,0.8673685535682493,1207
oi_delta,price_change_1d,1,-0.00013698845308447532,0.9962081997021416,0.005146077033822726,0.858309661958256,1206
oi_delta,price_change_1d,2,-0.05291255238735306,0.06633705686235945,-0.06312127270891496,0.028448408335354922,1205
oi_delta,price_change_1d,3,-0.05358197742427489,0.06307971479207056,-0.06867406661317058,0.017161006212974592,1204
oi_delta,price_change_1d,7,0.038606823588572044,0.18139109997321667,0.02716404597029615,0.34712371396767316,1200
oi_delta,price_change_7d,0,-0.029638939523212837,0.30474709087148755,-0.04684228009762479,0.10468768020573513,1201
oi_delta,price_change_7d,1,-0.014135491291337185,0.6247129182674055,-0.03769917171950496,0.1918790482518992,1200
oi_delta,price_change_7d,2,-0.017587827256777606,0.5429101836163984,-0.02642466019149402,0.3606113163502428,1199
oi_delta,price_change_7d,3,-0.003724991920864768,0.8975192407031821,-0.0033258336149500963,0.9084495949223939,1198
oi_delta,price_change_7d,7,-0.01567025477747255,0.5885483648666319,-0.03999183442638527,0.16728046202082694,1194
oi_delta,volatility_change_1d,0,0.03396401173485129,0.24229807414108706,0.03384467214367694,0.24395778244673136,1187
oi_delta,volatility_change_1d,1,-0.0008746383180207248,0.9759856623779142,0.0007171751543841407,0.9803080461818674,1187
oi_delta,volatility_change_1d,2,0.022735529699613562,0.4338737661772376,0.027086599897579024,0.35113043436010016,1187
oi_delta,volatility_change_1d,3,0.008993543732799966,0.7569159895726951,0.000593129918460566,0.9837135165994595,1187
oi_delta,volatility_change_1d,7,0.010384913008013042,0.7207753890051644,-0.027570011533686805,0.34259744371655954,1187
oi_delta,price_direction_1d,0,0.023444887084243183,0.4157664306611096,-0.00034891045978030526,0.9903384485473155,1207
oi_delta,price_direction_1d,1,-0.0286993445987929,0.31933352764108663,-0.012514793180863952,0.664162137518759,1206
oi_delta,price_direction_1d,2,-0.03685231804923525,0.20112071004726476,-0.05677404131549995,0.04879855636653866,1205
oi_delta,price_direction_1d,3,-0.0730249951063663,0.011256767387327617,-0.05214766073768031,0.07048091725424255,1204
oi_delta,price_direction_1d,7,0.022070245671410808,0.4449673657483095,0.00010898132334924345,0.9969909535598959,1200
funding_delta,price_change_1d,0,0.03677003566940526,0.20175438310399121,-0.021924534031191708,0.4466556649464384,1207
funding_delta,price_change_1d,1,-0.04954270863911667,0.08547481415293298,0.0026670602969908093,0.9262813390660491,1206
funding_delta,price_change_1d,2,0.027466624200936363,0.3407714192271316,0.008165286425026293,0.7770595265359689,1205
funding_delta,price_change_1d,3,-0.011122378690055577,0.6998350266449618,-0.02369565603882921,0.4113786952034322,1204
funding_delta,price_change_1d,7,-0.03590718165798981,0.2138804455744246,-0.03473835273031637,0.22917735794920394,1200
funding_delta,price_change_7d,0,0.009182002168144729,0.7505746428843768,-0.0005879563055351164,0.9837604421258779,1201
funding_delta,price_change_7d,1,-0.015324006982665665,0.5958921009288018,0.0011196973668087633,0.9690920660700729,1200
funding_delta,price_change_7d,2,0.00939147194451741,0.7452851219484882,0.0067736458511642545,0.8147472485371787,1199
funding_delta,price_change_7d,3,0.0076767568632608325,0.7906739971198079,0.008938232463768228,0.7572800381341819,1198
