,avg_funding_rate,sum_open_interest,long_position_pct,whale_conc_change_7d,funding_rate_zscore,oi_growth_7d,volatility_ratio,predicted_prob,actual_label
960,-0.4792762586720079,0.0,0.0,-0.6100593890395402,1.5119912771851507,0.0,0.12786006297300373,0.5098936163015965,0
963,-0.16970153709754046,0.0,0.0,-0.37713868735954775,0.4943406851524522,0.0,0.35505161541432084,0.44809170626333217,0
1027,-0.13547446908405034,0.0,0.0,-0.8849455106498323,0.1129978550712073,0.0,-0.14434025325179045,0.1732597795171127,0
695,0.5147300736150605,0.0,0.0,0.8458622962913745,-0.7473131928140858,0.0,0.20547036999670953,0.5763514683401499,1
792,-0.37822034465649246,0.0,0.0,0.4753707349178251,0.36188164648864296,0.0,-0.24172453527854829,0.4271157685765276,1
669,-0.027546405719376676,0.0,0.0,0.459837918462927,0.3261783816490007,0.0,-0.07944738701874798,0.5419229537272154,0
711,0.09056984967962392,0.0,0.0,-0.4415496559841993,0.7996226580083792,0.0,0.08733364366713038,0.5062597814847047,0
721,-0.30719819290866607,0.0,0.0,-0.23093974014080187,0.5686403653743436,0.0,0.2972806510180849,0.4543393249178076,0
897,-0.04544603830830274,0.0,0.0,0.5612920918475194,0.1497276104984507,0.0,-0.1368214798910638,0.5044539129503062,0
1055,-0.4240738491687156,0.0,0.0,0.3642914653073449,0.14762406122365895,0.0,0.16439998704989336,0.43568468145039235,0
648,-0.027831751284204544,0.0,0.0,0.5067963813728964,-0.4981434361947913,0.0,0.056082647243387095,0.3836623163297651,1
1030,0.6430800108663477,0.0,0.0,-0.5309862807732045,-0.2601263696274884,0.0,-0.03696056045878743,0.33271538014540625,0
743,-0.2602896295804359,0.0,0.0,0.6173139868661643,0.8469355230229251,0.0,-0.12115270101005254,0.6391948137100245,0
1053,-0.20905090666706172,0.0,0.0,0.4020956211547178,0.15817094130324832,0.0,0.030108071629182345,0.46764220308308235,1
1052,0.08294527659009956,0.0,0.0,0.2690805185457274,-0.4076048480531196,0.0,0.22465285939630766,0.4153571841947409,0
678,0.21642584009260638,0.0,0.0,-0.6347027725194772,0.12784031187578426,0.0,-1.1292939274492768,0.12667681493620492,1
1051,0.38276971132604654,0.0,0.0,0.5681843032708711,0.015563133683622691,0.0,0.3358099938124388,0.6881299445736624,1
1017,0.04225537367122263,0.0,0.0,-0.8392602792428219,1.5737947555688379,0.0,0.018832751630989637,0.5706948153225576,0
694,1.5844365059708028,0.0,0.0,0.2978500844841041,0.1105886682292321,0.0,-0.04780511372815918,0.8075446367801701,0
1045,-0.6489861884788779,0.0,0.0,0.6358087457254821,0.24555607307075633,0.0,-0.11977194019057708,0.4017137925570413,0
1026,-0.2721013414910498,0.0,0.0,-0.8185836068309277,-0.025050544139699097,0.0,0.11829807268705228,0.18117996830563135,0
884,-0.29002033633257995,0.0,0.0,-0.7326497245234095,0.09106974656876844,0.0,-0.13131688938356045,0.17166777198178745,0
1048,0.40932219788794433,0.0,0.0,0.6594698297023744,-0.06991456912574338,0.0,0.15412282602324007,0.6552199319452272,0
819,0.1499938026141873,0.0,0.0,0.8776270952222057,-0.008694262840643306,0.0,0.2812745486444908,0.687673516364979,0
864,0.2875138676482651,0.0,0.0,0.79583880946295,-0.4513416091591222,0.0,-0.3088097245133396,0.4532036819678939,0
752,0.08190075085367717,0.0,0.0,0.8952459667634476,0.49527890180968154,0.0,-0.11339430732464748,0.7001674253190188,1
1003,-0.41424469884613063,0.0,0.0,-1.0622442918883712,0.3133632925023463,0.0,-0.04277937513216769,0.15227849307845898,0
