symbol,week_end_date,avg_funding_rate,sum_open_interest,oi_growth_7d,funding_rate_zscore,created_at
BTCUSDT,2022-08-14,4.8670833333333335e-05,114192.982,0.0,0.0,2025-12-15 07:57:26
BTCUSDT,2022-08-21,1.7896666666666664e-05,109778.887,-0.038654695960212315,-0.7071067811865475,2025-12-15 07:57:26
BTCUSDT,2022-08-28,-4.9982857142857136e-05,118443.73,0.07892995854476093,-1.099742069775806,2025-12-15 07:57:26
BTCUSDT,2022-09-04,-5.7149047619047626e-05,122470.697,0.033998988380389505,-0.9079206866886541,2025-12-15 07:57:26
BTCUSDT,2022-09-11,-0.00011497142857142858,142062.227,0.1599691230629643,-1.292761898823863,2025-12-15 07:57:26
BTCUSDT,2022-09-18,-0.0005596309523809524,124965.475,-0.12034692374631017,-1.9712112553929677,2025-12-15 07:57:26
BTCUSDT,2022-09-25,-6.416666666666666e-05,121813.291,-0.025224438990049114,0.23005390967641218,2025-12-15 07:57:26
BTCUSDT,2022-10-02,3.0232380952380953e-05,126468.024,0.038212028932048225,0.6310121481177553,2025-12-15 07:57:26
BTCUSDT,2022-10-09,2.5820952380952385e-05,145436.513,0.1499864424227899,0.5651371561266366,2025-12-15 07:57:26
BTCUSDT,2022-10-16,1.7695714285714285e-05,142882.014,-0.01756435813336643,0.4907344364529286,2025-12-15 07:57:26
BTCUSDT,2022-10-23,3.7670952380952385e-05,161076.993,0.12734268289359352,0.56642268645861,2025-12-15 07:57:26
BTCUSDT,2022-10-30,4.931571428571428e-05,144123.561,-0.10525048726232433,0.5981129594764566,2025-12-15 07:57:26
BTCUSDT,2022-11-06,3.413857142857143e-05,139302.229,-0.03345276765677474,0.4846633716040986,2025-12-15 07:57:26
BTCUSDT,2022-11-13,-0.00011722095238095236,119146.924,-0.1446875986456756,-0.42473728376316383,2025-12-15 07:57:26
BTCUSDT,2022-11-20,-1.3620476190476192e-05,121181.49,0.017076110164623293,0.22334570559228573,2025-12-15 07:57:26
BTCUSDT,2022-11-27,-2.2308571428571426e-05,126736.741,0.045842405469680214,0.16131098346795308,2025-12-15 07:57:26
BTCUSDT,2022-12-04,2.413714285714286e-05,135952.819,0.07271828143347947,0.4596430163372898,2025-12-15 07:57:26
BTCUSDT,2022-12-11,3.0033809523809523e-05,109245.279,-0.1964471218504119,0.4838158165595442,2025-12-15 07:57:26
