entry_date,exit_date,position,return,profit,capital
2023-02-03,2023-02-07,Short Premium,0.005644737855525477,564473.7855525478,100564473.78555255
2023-02-20,2023-02-24,Long Premium,0.015489026761141783,1557645.8256845647,102122119.61123711
2023-03-13,2023-03-15,Long Premium,0.016111051538932365,1645294.7323216568,103767414.34355876
2023-03-24,2023-03-28,Short Premium,0.009967525749634311,1034304.3744423947,104801718.71800116
2023-05-08,2023-05-15,Short Premium,0.000767918449847206,80479.17337925035,104882197.89138041
2023-06-14,2023-06-21,Short Premium,0.004774718856221353,500783.00795391353,105382980.89933433
2023-06-24,2023-06-26,Short Premium,0.005653765345032653,595810.6453648944,105978791.54469922
2023-07-03,2023-07-05,Long Premium,0.005730197987922745,607279.4580719195,106586071.00277114
2023-07-13,2023-07-17,Long Premium,0.011942716051806532,1272927.1810637857,107858998.18383493
2023-08-31,2023-09-07,Short Premium,0.007354290884991009,793226.447207639,108652224.63104257
2023-10-04,2023-10-09,Long Premium,0.002690260637263597,292302.8030760161,108944527.43411858
2023-10-12,2023-10-16,Short Premium,0.00853916029920958,930294.7834815743,109874822.21760015
2023-10-22,2023-10-25,Long Premium,0.005277427821646292,579856.4436696032,110454678.66126975
2023-11-09,2023-11-15,Short Premium,0.01148797999382904,1268901.1386854823,111723579.79995523
2023-11-16,2023-11-28,Short Premium,0.005095838430322795,569325.3115178474,112292905.11147308
2023-12-11,2023-12-14,Short Premium,0.0077960018212288405,875435.6927601215,113168340.80423321
2023-12-15,2023-12-20,Short Premium,0.011465186412284046,1297496.1232894247,114465836.92752263
2024-02-12,2024-02-15,Long Premium,0.006114659596333767,699919.6282212524,115165756.55574389
2024-02-28,2024-03-24,Short Premium,-0.016449761926718376,-1894449.277452393,113271307.2782915
2024-05-20,2024-05-23,Long Premium,0.008027358798031455,909269.4250449176,114180576.70333642
2024-06-04,2024-06-07,Long Premium,0.011305788822882369,1290901.487882844,115471478.19121926
2024-06-14,2024-06-17,Short Premium,0.006620558495093595,764485.6758798914,116235963.86709915
2024-08-03,2024-08-08,Short Premium,0.008085419137847783,939816.486757227,117175780.35385638
2024-09-29,2024-09-30,Long Premium,0.006641347366021096,778205.0602145506,117953985.41407093
2024-10-02,2024-10-07,Short Premium,0.008267746840724127,975213.6902580047,118929199.10432895
2024-11-07,2024-11-11,Long Premium,0.01476937692258627,1756510.1686731437,120685709.27300209
2024-12-17,2024-12-28,Short Premium,-0.002056545781505834,-248195.68629343194,120437513.58670865
2025-01-26,2025-02-09,Short Premium,-0.00083636838414808,-100730.12862932794,120336783.45807932
2025-02-24,2025-03-01,Long Premium,0.012335042387013611,1484359.3246722869,121821142.7827516
2025-04-07,2025-04-09,Short Premium,0.017722735479832545,2159003.8893896183,123980146.67214122
2025-04-12,2025-04-15,Long Premium,0.012994301677442434,1611035.4278713637,125591182.10001259
2025-05-30,2025-06-04,Short Premium,0.006616877195228578,831021.4287593729,126422203.52877195
2025-06-24,2025-06-27,Long Premium,0.00784596729832371,991904.474668769,127414108.00344072
2025-07-09,2025-07-25,Long Premium,0.0012222053526842454,155726.2048092938,127569834.20825002
2025-09-22,2025-09-29,Short Premium,0.005538636822226087,706562.9811510907,128276397.1894011
2025-10-09,2025-10-23,Short Premium,-0.007275887101830291,-933324.5837796228,127343072.60562149
