date,krw_usd
2022-08-11,1310.0
2022-08-12,1310.0
2022-08-13,1310.0
2022-08-14,1310.0
2022-08-15,1310.0
2022-08-16,1310.0
2022-08-17,1310.0
2022-08-18,1310.0
2022-08-19,1310.0
2022-08-20,1310.0
2022-08-21,1310.0
2022-08-22,1310.0
2022-08-23,1310.0
2022-08-24,1310.0
2022-08-25,1310.0
2022-08-26,1310.0
2022-08-27,1310.0
2022-08-28,1310.0
2022-08-29,1310.0
2022-08-30,1310.0
2022-08-31,1310.0
2022-09-01,1400.0
2022-09-02,1400.0
2022-09-03,1400.0
2022-09-04,1400.0
2022-09-05,1400.0
2022-09-06,1400.0
2022-09-07,1400.0
2022-09-08,1400.0
2022-09-09,1400.0
2022-09-10,1400.0
2022-09-11,1400.0
2022-09-12,1400.0
2022-09-13,1400.0
2022-09-14,1400.0
2022-09-15,1400.0
2022-09-16,1400.0
2022-09-17,1400.0
2022-09-18,1400.0
2022-09-19,1400.0
2022-09-20,1400.0
2022-09-21,1400.0
2022-09-22,1400.0
2022-09-23,1400.0
2022-09-24,1400.0
2022-09-25,1400.0
2022-09-26,1400.0
2022-09-27,1400.0
2022-09-28,1400.0
2022-09-29,1400.0
2022-09-30,1400.0
2022-10-01,1430.0
2022-10-02,1430.0
2022-10-03,1430.0
2022-10-04,1430.0
2022-10-05,1430.0
2022-10-06,1430.0
2022-10-07,1430.0
2022-10-08,1430.0
2022-10-09,1430.0
2022-10-10,1430.0
2022-10-11,1430.0
2022-10-12,1430.0
2022-10-13,1430.0
2022-10-14,1430.0
2022-10-15,1430.0
2022-10-16,1430.0
2022-10-17,1430.0
2022-10-18,1430.0
2022-10-19,1430.0
2022-10-20,1430.0
2022-10-21,1430.0
2022-10-22,1430.0
2022-10-23,1430.0
2022-10-24,1430.0
2022-10-25,1430.0
2022-10-26,1430.0
2022-10-27,1430.0
2022-10-28,1430.0
2022-10-29,1430.0
2022-10-30,1430.0
2022-10-31,1430.0
2022-11-01,1350.0
2022-11-02,1350.0
2022-11-03,1350.0
2022-11-04,1350.0
2022-11-05,1350.0
2022-11-06,1350.0
2022-11-07,1350.0
2022-11-08,1350.0
2022-11-09,1350.0
2022-11-10,1350.0
2022-11-11,1350.0
2022-11-12,1350.0
2022-11-13,1350.0
2022-11-14,1350.0
2022-11-15,1350.0
2022-11-16,1350.0
2022-11-17,1350.0
2022-11-18,1350.0
2022-11-19,1350.0
