coin,week_end_date,avg_top100_richest_pct,avg_transaction_value_btc,whale_conc_change_7d
BTC,2023-01-01,18.58,15.623249999999999,0.0
BTC,2023-01-08,13.675714285714287,11.49207142857143,-0.26395509764723957
BTC,2023-01-15,11.031428571428572,7.307514285714285,-0.19335631463491076
BTC,2023-01-22,18.194285714285716,10.311114285714286,0.6493136493136493
BTC,2023-01-29,15.651428571428571,7.6577142857142855,-0.1397613065326634
BTC,2023-02-05,13.235714285714284,7.599528571428571,-0.15434465133260322
BTC,2023-02-12,17.844285714285714,12.512242857142857,0.34819212088505136
BTC,2023-02-19,13.084285714285715,8.397385714285715,-0.26675206148426867
BTC,2023-02-26,12.997142857142858,8.292442857142857,-0.006660115733158611
BTC,2023-03-05,6.024285714285715,3.384657142857143,-0.5364915366014509
BTC,2023-03-12,12.917142857142858,9.397914285714284,1.1441783258240457
BTC,2023-03-19,17.428571428571427,13.865542857142858,0.3492590134925899
BTC,2023-03-26,17.52857142857143,15.400728571428571,0.005737704918032938
BTC,2023-04-02,17.535714285714285,18.817128571428572,0.00040749796251016157
BTC,2023-04-09,5.908571428571428,5.880314285714285,-0.6630549898167006
BTC,2023-04-16,3.601428571428571,2.859542857142857,-0.39047388781431336
BTC,2023-04-23,5.975714285714285,6.617957142857143,0.6592621975406585
BTC,2023-04-30,15.224285714285713,20.115857142857145,1.5476930432703804
BTC,2023-05-07,17.435714285714287,25.13322857142857,0.1452566388289389
BTC,2023-05-14,17.371428571428574,24.322971428571428,-0.0036870135190495423
BTC,2023-05-21,10.55,11.74627142857143,-0.39268092105263164
BTC,2023-05-28,13.108571428571429,18.2154,0.24251861882193637
BTC,2023-06-04,18.038571428571426,18.313042857142857,0.37608979947689614
BTC,2023-06-11,18.365714285714287,20.13202857142857,0.018135740872733175
BTC,2023-06-18,18.478571428571428,20.85152857142857,0.006144990665836847
BTC,2023-06-25,18.334285714285716,19.07578571428571,-0.007808272129880001
BTC,2023-07-02,15.94,18.136599999999998,-0.13059061866916022
BTC,2023-07-09,18.805714285714284,18.351185714285716,0.1797813228177092
BTC,2023-07-16,18.812857142857144,18.66187142857143,0.00037982376177470023
BTC,2023-07-23,15.989999999999998,22.295814285714282,-0.15004935834155986
BTC,2023-07-30,16.035714285714285,23.348242857142857,0.0028589296881980086
BTC,2023-08-06,16.274285714285714,25.426085714285712,0.014877505567928884
BTC,2023-08-13,18.614285714285717,22.842857142857145,0.14378511235955083
BTC,2023-08-20,18.36285714285714,21.06992857142857,-0.013507290867229682
BTC,2023-08-27,18.42142857142857,19.674028571428572,0.0031896685856542817
BTC,2023-09-03,30.202857142857145,18.696185714285715,0.6395502132609541
BTC,2023-09-10,16.107142857142858,19.18132857142857,-0.4667013527575442
BTC,2023-09-17,18.37142857142857,17.673714285714286,0.14057649667405747
BTC,2023-09-24,18.018571428571427,15.664657142857143,-0.01920684292379471
BTC,2023-10-01,15.571428571428571,11.997399999999999,-0.1358122571949575
BTC,2023-10-08,18.091428571428573,10.892671428571429,0.1618348623853212
BTC,2023-10-15,18.06714285714286,10.40757142857143,-0.0013423878711307236
BTC,2023-10-22,15.645714285714288,10.143457142857143,-0.13402387918083336
BTC,2023-10-29,18.25142857142857,10.574757142857141,0.1665449233016798
BTC,2023-11-05,18.327142857142857,12.083542857142858,0.004148403256105215
BTC,2023-11-12,18.61285714285714,14.61582857142857,0.015589679632083575
BTC,2023-11-19,15.92,11.820685714285714,-0.14467725842351675
BTC,2023-11-26,13.44,9.897657142857144,-0.15577889447236182
BTC,2023-12-03,15.747142857142858,11.2555,0.17166241496598644
BTC,2023-12-10,13.128571428571428,10.367214285714285,-0.16628866914633045
BTC,2023-12-17,15.45857142857143,13.534671428571428,0.17747551686615903
BTC,2023-12-24,17.37,18.52937142857143,0.12364846132520091
BTC,2023-12-31,5.8,5.412871428571429,-0.666090961427749
BTC,2024-01-07,14.961428571428572,14.445314285714286,1.5795566502463054
BTC,2024-01-14,17.07,15.495714285714286,0.14093382984818104
BTC,2024-01-21,8.042857142857143,8.036271428571428,-0.5288308645074902
BTC,2024-01-28,17.32857142857143,19.446714285714286,1.1545293072824157
BTC,2024-02-04,17.45714285714286,18.96462857142857,0.007419620774938185
BTC,2024-02-11,17.614285714285714,17.124242857142857,0.009001636661210899
BTC,2024-02-18,17.997142857142855,18.211142857142857,0.021735604217355986
BTC,2024-02-25,18.02285714285714,17.00182857142857,0.0014287982219400863
BTC,2024-03-03,17.994285714285716,19.53282857142857,-0.0015852885225109414
BTC,2024-03-10,18.01142857142857,21.168242857142854,0.0009526833915527444
BTC,2024-03-17,18.00714285714286,24.222214285714283,-0.0002379441624363876
BTC,2024-03-24,18.46,28.901971428571432,0.02514875049583498
BTC,2024-03-31,18.704285714285714,31.858814285714285,0.013233245627611856
BTC,2024-04-07,18.791428571428572,34.42897142857143,0.004658978079890019
BTC,2024-04-14,18.85571428571429,32.86268571428572,0.0034210126197355972
BTC,2024-04-21,18.738571428571426,32.38914285714286,-0.006212591863020256
BTC,2024-04-28,18.722857142857144,37.4554,-0.0008386063886557382
BTC,2024-05-05,18.67142857142857,35.551342857142856,-0.0027468335113689513
BTC,2024-05-12,18.64428571428571,32.74207142857143,-0.001453710788064333
BTC,2024-05-19,18.93285714285714,33.23428571428571,0.01547774116925904
BTC,2024-05-26,19.56142857142857,33.30591428571428,0.033200030181845586
BTC,2024-06-02,19.737142857142857,33.781142857142854,0.008982691886365357
BTC,2024-06-09,19.99857142857143,34.166914285714284,0.013245512449334251
